pose,angle,mean,std,min,max,ci_lower,ci_upper
Utkatakonasana,right_arm,122.80662805709245,24.40761596866571,78.63496490539889,178.52746500637,116.80648715713316,128.80676895705176
Utkatakonasana,left_arm,116.99240079211629,25.777742529875436,48.241394522529355,173.33038341070704,110.655440744044,123.32936084018857
Utkatakonasana,right_leg,57.78619905521742,17.250671795082216,25.634138776830838,125.24149839849802,53.545454628464405,62.02694348197044
Utkatakonasana,left_leg,60.74570623526162,17.126592361473826,29.581698181550724,136.48765709965807,56.53546434039838,64.95594813012487
Utkatakonasana,right_hip,100.1914794648726,23.205940438221262,37.303408091207956,140.75553312531326,94.48674728110896,105.89621164863624
Utkatakonasana,left_hip,99.5741284364733,21.719534268748387,41.01780405799089,137.56820078644677,94.23480049632181,104.9134563766248
Utkatakonasana,upper_back,104.69772629933065,25.268659859831693,43.26619087910877,161.7048719087566,98.48591439165484,110.90953820700646
Utkatakonasana,lower_back,135.91335454687828,13.419039270130485,79.29006433282122,155.50194217260756,132.61454296010817,139.2121661336484
Utkatakonasana,right_shoulder,79.4254968440585,41.68332475580652,14.839001820632214,172.385653989458,69.17845665649229,89.67253703162471
Utkatakonasana,left_shoulder,78.91338803601438,43.0138317778475,11.364865376636088,168.66866995092462,68.33926839870264,89.48750767332612
Utkatakonasana,hip_width,118.38080340330565,18.890123289447484,47.301156110753645,161.79394599768202,113.73703149621744,123.02457531039386
Utkatakonasana,shoulder_width,120.84176670184321,30.069223578994144,60.076468236226,174.50651742648733,113.44982893709124,128.23370446659519
Utkatakonasana,torso_twist,85.27698379256177,6.6855446535000125,68.4809667963387,104.41998943886117,83.63347178526585,86.92049579985768
Utkatakonasana,neck_tilt,130.15424687209696,21.04388710899583,62.519546579231374,167.11380367969062,124.98101373458317,135.32748000961075
Utkatakonasana,right_ankle_flex,69.38452826252698,21.388502000290657,30.8298166732771,161.1957132358344,64.12657821097098,74.642478314083
Utkatakonasana,left_ankle_flex,70.32076296538014,23.177146072339458,34.445905508187856,166.37890300383154,64.62310932024303,76.01841661051725
Utkatakonasana,right_wrist_flex,156.26759968198084,13.981205798047348,121.14687735102692,179.5046830754605,152.83059031378576,159.70460905017592
Utkatakonasana,left_wrist_flex,157.56670056083843,15.037835992188453,118.19958302298275,179.1418859647968,153.86993907051323,161.26346205116363
Utkatakonasana,pelvis_tilt,67.67815549719668,9.183823711124775,38.49159471835813,88.12294281694766,65.4204898432517,69.93582115114167
Utkatakonasana,spine_alignment,98.41444188986056,24.073655433364028,35.40004732630368,153.66378287912264,92.49639873633453,104.33248504338658
Natarajasana,right_arm,150.61219205755881,20.91601213925109,91.28575294076064,178.98783195383507,145.2090131800065,156.01537093511112
Natarajasana,left_arm,133.37846413575735,27.93444868493363,90.41875156558469,177.62825634017508,126.1622308458915,140.59469742562322
Natarajasana,right_leg,112.88359577703845,43.733544947321995,44.86247384456775,177.74177118529093,101.58602314576174,124.18116840831516
Natarajasana,left_leg,134.26386750082753,41.963257604065944,42.805278973856055,178.67720137394866,123.42360858292017,145.1041264187349
Natarajasana,right_hip,100.5419052660719,28.66538673201883,56.9475713838337,158.09681639324768,93.13685065641923,107.94695987572456
Natarajasana,left_hip,118.47509717437248,32.27156009208405,56.83197408196262,171.14061778571286,110.1384692036903,126.81172514505465
Natarajasana,upper_back,107.17099952771314,23.4511929608483,57.94022326199117,146.85163143709005,101.11291399898693,113.22908505643935
Natarajasana,lower_back,110.38393045777843,21.81704608795839,71.6459063167214,161.32672445882966,104.74798982969737,116.01987108585949
Natarajasana,right_shoulder,120.72911375417625,25.952749731038924,44.282659064672075,178.93374423276174,114.02480758780148,127.43341992055103
Natarajasana,left_shoulder,112.12970532021373,23.347649796946797,59.58121280111795,162.2903497277161,106.09836782702999,118.16104281339747
Natarajasana,hip_width,120.64288925632046,17.00384583282526,67.12625272165992,154.47444889303603,116.25033009975617,125.03544841288475
Natarajasana,shoulder_width,122.21203109078529,24.71632926112425,72.26360928605344,169.80660116023338,115.82712620044435,128.59693598112622
Natarajasana,torso_twist,67.51026831288142,31.43211302681673,27.997485229951337,127.84775851330639,59.390492513716396,75.63004411204645
Natarajasana,neck_tilt,123.54705669481078,15.640023641733642,85.7198066942129,154.67485069142745,119.50681016871272,127.58730322090884
Natarajasana,right_ankle_flex,126.22359019194866,21.820604515998383,82.88980581519364,165.8602913702696,120.5867303244306,131.8604500594667
Natarajasana,left_ankle_flex,108.3752036329916,24.15765426544904,60.09909126083253,158.5386909892336,102.13461979754163,114.61578746844157
Natarajasana,right_wrist_flex,153.29036816709763,16.309943619954595,94.04858441775383,175.9503128925936,149.0770629598382,157.50367337435705
Natarajasana,left_wrist_flex,155.03025435688934,16.72722658565669,94.19475655866178,172.68047146344807,150.70915352916302,159.35135518461567
Natarajasana,pelvis_tilt,40.10452153191988,27.476587732408927,13.954459590503927,113.30595585893859,33.006566268049944,47.20247679578981
Natarajasana,spine_alignment,83.23734311136884,19.960761580850882,42.0938603471981,137.0512315914042,78.08093161975776,88.39375460297993
Trikonasana,right_arm,159.05456615916293,6.311610976986668,144.50092357153505,173.94467499658575,157.424104152967,160.68502816535886
Trikonasana,left_arm,144.6134825994935,11.727767542598817,99.45764041539596,162.3025386391634,141.58387899029984,147.64308620868715
Trikonasana,right_leg,133.34095992186468,15.88616801228249,72.01946769353945,160.42558452469083,129.23712756234278,137.44479228138658
Trikonasana,left_leg,163.14115423542356,10.959670706051273,128.2603173331675,179.3904308835763,160.30997107920717,165.97233739163994
